dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,maxmin,N,Y,N,Y,N,Y,N,N,0.019606206977409873,0.17833664193184381,0.224,0.18157140775360095
noise0_shift2,agglomerative,N,Y,N,Y,N,Y,N,N,0.41431010862367895,0.6341377265783631,0.555,0.513712477227573
noise0_shift2,kmeans,N,Y,N,Y,N,N,Y,N,0.22534532733891507,0.4238051669454654,0.368,0.3151274744281459
noise0_shift2,maxmin,N,Y,N,Y,N,N,Y,N,0.012434726535629511,0.14476540574417016,0.209,0.1665980579740743
noise0_shift2,agglomerative,N,Y,N,Y,N,N,Y,N,0.2524197366872404,0.4907788821079262,0.408,0.3780794258430725
noise0_shift2,kmeans,N,Y,N,N,Y,Y,N,N,0.6711318560154242,0.82516102487705,0.753,0.7305786328094531
noise0_shift2,maxmin,N,Y,N,N,Y,Y,N,N,0.36330312725287783,0.5894609926905492,0.552,0.4897367443128079
noise0_shift2,agglomerative,N,Y,N,N,Y,Y,N,N,0.6412217978645378,0.8059095586304035,0.742,0.7192368163189139
noise0_shift2,kmeans,N,Y,N,N,Y,N,Y,N,0.42523232143937256,0.6459330510861067,0.576,0.4904146032340736
noise0_shift2,maxmin,N,Y,N,N,Y,N,Y,N,0.23621515915313526,0.43358215255658195,0.438,0.31489328771466196
noise0_shift2,agglomerative,N,Y,N,N,Y,N,Y,N,0.35679916668028216,0.5977912975172012,0.53,0.4958888564527081
noise0_shift2,kmeans,N,Y,N,N,N,Y,Y,N,0.6923850545663389,0.8229502817924631,0.763,0.7652726430460648
noise0_shift2,maxmin,N,Y,N,N,N,Y,Y,N,0.42276546666384324,0.6574272889573134,0.568,0.48472086804660836
noise0_shift2,agglomerative,N,Y,N,N,N,Y,Y,N,0.6261979875017952,0.8074485973725536,0.708,0.6857040376448829
noise0_shift2,kmeans,N,N,Y,Y,Y,N,N,N,0.1642432702345396,0.3457526230830745,0.362,0.2897258748257635
noise0_shift2,maxmin,N,N,Y,Y,Y,N,N,N,0.0059228766100569855,0.14015698032662877,0.18,0.15069093133925243
noise0_shift2,agglomerative,N,N,Y,Y,Y,N,N,N,0.2613790458349154,0.4907274417891193,0.453,0.4223760386458437
noise0_shift2,kmeans,N,N,Y,Y,N,Y,N,N,0.3258187750286865,0.5639512739863433,0.472,0.4435271346628851
noise0_shift2,maxmin,N,N,Y,Y,N,Y,N,N,0.0059228766100569855,0.14015698032662877,0.18,0.15069093133925243
noise0_shift2,agglomerative,N,N,Y,Y,N,Y,N,N,0.3114867547058289,0.5738421182075687,0.449,0.3854220496804822
noise0_shift2,kmeans,N,N,Y,Y,N,N,Y,N,0.1885439343364767,0.4164279557683546,0.355,0.3013332730579571
noise0_shift2,maxmin,N,N,Y,Y,N,N,Y,N,0.0035893954455267457,0.12293209180577035,0.17,0.1384639726927913
noise0_shift2,agglomerative,N,N,Y,Y,N,N,Y,N,0.24311260859883735,0.4910195910443521,0.407,0.34887055833784497
noise0_shift2,kmeans,N,N,Y,N,Y,Y,N,N,0.5061305712870175,0.7204477054447855,0.619,0.5820051060612622
noise0_shift2,maxmin,N,N,Y,N,Y,Y,N,N,0.04703892721513452,0.283294304352846,0.259,0.20506596198486884
noise0_shift2,agglomerative,N,N,Y,N,Y,Y,N,N,0.49664729610462144,0.7312744143788846,0.604,0.5763860842271442
noise0_shift2,kmeans,N,N,Y,N,Y,N,Y,N,0.2732678870772336,0.5041451230671389,0.45,0.4139718972370619
noise0_shift2,maxmin,N,N,Y,N,Y,N,Y,N,0.029968653094233518,0.23497756158975536,0.242,0.20053607214314093
noise0_shift2,agglomerative,N,N,Y,N,Y,N,Y,N,0.2923522631674883,0.5276803071756567,0.469,0.3905030812996888
noise0_shift2,kmeans,N,N,Y,N,N,Y,Y,N,0.5018245632168143,0.7759640023113009,0.673,0.6549285615666826
noise0_shift2,maxmin,N,N,Y,N,N,Y,Y,N,0.04849904268758532,0.2812268044635096,0.263,0.22853313862490937
noise0_shift2,agglomerative,N,N,Y,N,N,Y,Y,N,0.5713253437291294,0.7883283518680804,0.672,0.612440565255089
noise0_shift2,kmeans,N,N,N,Y,Y,Y,N,N,0.37444947015991503,0.6166078768599842,0.505,0.47417947658416154
noise0_shift2,maxmin,N,N,N,Y,Y,Y,N,N,0.0287349892431779,0.22998719486418473,0.226,0.1713348648044573
noise0_shift2,agglomerative,N,N,N,Y,Y,Y,N,N,0.3739432570426089,0.6308869217935563,0.508,0.4776124515188368
noise0_shift2,kmeans,N,N,N,Y,Y,N,Y,N,0.2711872117925003,0.4871685018794864,0.426,0.40960926891331895
noise0_shift2,maxmin,N,N,N,Y,Y,N,Y,N,0.0203395925499626,0.19271732656909207,0.213,0.16495198141041117
noise0_shift2,agglomerative,N,N,N,Y,Y,N,Y,N,0.3122190290002613,0.5467770608918312,0.472,0.4179591966320723
noise0_shift2,kmeans,N,N,N,Y,N,Y,Y,N,0.3533347233124019,0.6124559633193752,0.478,0.41442964704748075
noise0_shift2,maxmin,N,N,N,Y,N,Y,Y,N,0.025020048397808258,0.2163262602225541,0.22,0.1689488387850115
noise0_shift2,agglomerative,N,N,N,Y,N,Y,Y,N,0.4068399504573212,0.6493082698794063,0.512,0.4449723423743183
noise0_shift2,kmeans,N,N,N,N,Y,Y,Y,N,0.7577650531999796,0.8927381220430153,0.852,0.8193351366984807
noise0_shift2,maxmin,N,N,N,N,Y,Y,Y,N,0.5538675296900999,0.8181216485884901,0.738,0.6918660818388763
noise0_shift2,agglomerative,N,N,N,N,Y,Y,Y,N,0.8696409518219367,0.9544982399912549,0.9,0.8666666666666666
noise0_shift2,kmeans,Y,Y,Y,Y,N,N,N,N,0.23735653714339758,0.4606484004045214,0.422,0.4137735354602154
noise0_shift2,maxmin,Y,Y,Y,Y,N,N,N,N,0.008832865145736763,0.15864249858312382,0.195,0.1646380885320794
noise0_shift2,agglomerative,Y,Y,Y,Y,N,N,N,N,0.265217167145479,0.5439196431279839,0.469,0.4412934086338619
noise0_shift2,kmeans,Y,Y,Y,N,Y,N,N,N,0.309771021243256,0.5246357552150636,0.475,0.470503973041311
noise0_shift2,maxmin,Y,Y,Y,N,Y,N,N,N,0.10599946572496986,0.332684209147343,0.3,0.20488472976405983
noise0_shift2,agglomerative,Y,Y,Y,N,Y,N,N,N,0.28427187231567536,0.5255438813856996,0.479,0.4385596044960077
noise0_shift2,kmeans,Y,Y,Y,N,N,Y,N,N,0.3611418641951303,0.5930638013497119,0.513,0.48265421961691163
noise0_shift2,maxmin,Y,Y,Y,N,N,Y,N,N,0.07035289707889607,0.32578728363268694,0.315,0.25366875016154256
noise0_shift2,agglomerative,Y,Y,Y,N,N,Y,N,N,0.38489619812079945,0.6296021339508012,0.532,0.4946159440434063
noise0_shift2,kmeans,Y,Y,Y,N,N,N,Y,N,0.28744727779933804,0.5414331150632726,0.485,0.4579654139746746
noise0_shift2,maxmin,Y,Y,Y,N,N,N,Y,N,0.09211143096897244,0.31981651238136694,0.289,0.22354945744263244
noise0_shift2,agglomerative,Y,Y,Y,N,N,N,Y,N,0.3235943372629376,0.5916960714064355,0.5,0.4722161227509113
noise0_shift2,kmeans,Y,Y,N,Y,Y,N,N,N,0.2655713607990945,0.48393346039945595,0.47,0.4516022709564937
noise0_shift2,maxmin,Y,Y,N,Y,Y,N,N,N,0.03793386627295152,0.2244964612114139,0.228,0.13560848238026718
noise0_shift2,agglomerative,Y,Y,N,Y,Y,N,N,N,0.32341665846055656,0.5648886501029169,0.482,0.45803601115569126
noise0_shift2,kmeans,Y,Y,N,Y,N,Y,N,N,0.37585405140221334,0.6102441641608519,0.526,0.5212906480334129
noise0_shift2,maxmin,Y,Y,N,Y,N,Y,N,N,0.046936674396520134,0.25167482441808653,0.25,0.15910833251803808
noise0_shift2,agglomerative,Y,Y,N,Y,N,Y,N,N,0.3662262703319627,0.6323515277274268,0.507,0.47133449632619645
noise0_shift2,kmeans,Y,Y,N,Y,N,N,Y,N,0.2611061660207151,0.492691514111528,0.42,0.37679462096040234
noise0_shift2,maxmin,Y,Y,N,Y,N,N,Y,N,0.04118185338005138,0.20210677989463333,0.227,0.18380858798266528
noise0_shift2,agglomerative,Y,Y,N,Y,N,N,Y,N,0.2659403997007258,0.542984274492987,0.463,0.4463352210856
noise0_shift2,kmeans,Y,Y,N,N,Y,Y,N,N,0.4368080372645709,0.6454299326823442,0.576,0.5220108176513392
noise0_shift2,maxmin,Y,Y,N,N,Y,Y,N,N,0.15339738601684022,0.4328436142051073,0.396,0.30503658950113277
noise0_shift2,agglomerative,Y,Y,N,N,Y,Y,N,N,0.4398902387384223,0.6610279058427427,0.597,0.5888211183765666
noise0_shift2,kmeans,Y,Y,N,N,Y,N,Y,N,0.2768399323636235,0.5272010339363654,0.467,0.4242582397271962
noise0_shift2,maxmin,Y,Y,N,N,Y,N,Y,N,0.11218126492635108,0.38918707060777286,0.35,0.2536379044154571
noise0_shift2,agglomerative,Y,Y,N,N,Y,N,Y,N,0.38099305029404334,0.6150256925765266,0.539,0.5184231880053959
noise0_shift2,kmeans,Y,Y,N,N,N,Y,Y,N,0.4205865768102517,0.6711366336748712,0.57,0.5165520837358744
noise0_shift2,maxmin,Y,Y,N,N,N,Y,Y,N,0.21050495880375014,0.4715021816521594,0.47,0.410371387225854
noise0_shift2,agglomerative,Y,Y,N,N,N,Y,Y,N,0.4511543182784491,0.7110417934727928,0.595,0.5536580537653513
noise0_shift2,kmeans,Y,N,Y,Y,Y,N,N,N,0.22271332643342465,0.47019816936257686,0.386,0.33341709025307126
