dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari_A,nmi_A,accuracy_A,macro_f1_A,ari_B,nmi_B,accuracy_B,macro_f1_B,ari_diff,ari_rel_diff,nmi_diff,nmi_rel_diff,accuracy_diff,accuracy_rel_diff,macro_f1_diff,macro_f1_rel_diff
noise0_shift2,kmeans,N,N,N,Y,N,Y,N,N,0.2560087677015734,0.4773753496363946,0.426,0.3832022129664977,0.3729535996462985,0.61762857971966,0.534,0.523114827891227,0.1169448319447251,0.4568001049129943,0.1402532300832654,0.2938007381195802,0.10800000000000004,0.2535211267605635,0.13991261492472928,0.3651143187342748
noise0_shift2,maxmin,N,N,N,Y,N,Y,N,N,0.2272948437528137,0.4608315877321653,0.446,0.3975461540587371,0.2335553779826342,0.4813492074175848,0.455,0.4166752891219482,0.006260534229820508,0.027543670267456334,0.020517619685419486,0.044523032343313014,0.009000000000000008,0.020179372197309434,0.019129135063211067,0.04811802319784171
noise0_shift2,agglomerative,N,N,N,Y,N,Y,N,N,0.3244751718500345,0.5761560076086442,0.488,0.4013867073391932,0.43241717839726,0.6537261956137392,0.584,0.5596122122481009,0.10794200654722552,0.33266645929111033,0.07757018800509508,0.13463400013314603,0.09599999999999997,0.19672131147540978,0.1582255049089077,0.39419717199353765
noise0_shift2,kmeans,N,N,N,Y,N,N,Y,N,0.2013220668165847,0.4146252752125594,0.376,0.341526008694147,0.3520988597806026,0.5718334352746206,0.512,0.4886275905591161,0.1507767929640179,0.7489332657278137,0.15720816006206123,0.37915720401142405,0.136,0.3617021276595745,0.14710158186496908,0.4307185342264976
noise0_shift2,maxmin,N,N,N,Y,N,N,Y,N,0.2284746984966667,0.4537100040678561,0.436,0.3944196393163604,0.2512027450159538,0.4882808303597129,0.47,0.4271565025170024,0.022728046519287087,0.09947730172677599,0.034570826291856815,0.07619586516035133,0.033999999999999975,0.07798165137614674,0.03273686320064195,0.08300008401555281
noise0_shift2,agglomerative,N,N,N,Y,N,N,Y,N,0.2576380537814968,0.4877103353305563,0.448,0.3975665871362078,0.3466941280300082,0.5754208455391263,0.521,0.462556159855889,0.08905607424851142,0.3456635110434424,0.08771051020857001,0.17984140145220073,0.07300000000000001,0.16294642857142858,0.0649895727196812,0.16346839704971367
noise0_shift2,kmeans,N,N,N,N,Y,Y,N,N,0.4035542831888475,0.6298697679571859,0.593,0.5656069187994602,0.3764563732627324,0.6125838386795065,0.569,0.5452089171941054,-0.027097909926115105,-0.06714811626329426,-0.017285929277679357,-0.027443656065192088,-0.02400000000000002,-0.040472175379426684,-0.020398001605354876,-0.036063918115872846
noise0_shift2,maxmin,N,N,N,N,Y,Y,N,N,0.2666172372391296,0.5339260619993266,0.514,0.4686762220401072,0.2427456021156048,0.5193077478944477,0.502,0.4647770407613241,-0.023871635123524804,-0.08953522799470869,-0.014618314104878904,-0.02737891094909194,-0.01200000000000001,-0.023346303501945546,-0.003899181278783137,-0.00831956283553353
noise0_shift2,agglomerative,N,N,N,N,Y,Y,N,N,0.4360509918472906,0.6997147104107346,0.616,0.5579933987613028,0.4194230589364114,0.647265272914661,0.582,0.5232242178735664,-0.016627932910879217,-0.03813300100622746,-0.05244943749607367,-0.07495831760530759,-0.03400000000000003,-0.05519480519480525,-0.034769180887736395,-0.06231109716516535
noise0_shift2,kmeans,N,N,N,N,Y,N,Y,N,0.176704245968272,0.3384154644440069,0.413,0.3349974717397591,0.2904869029533047,0.5106254528329071,0.474,0.4001217198218008,0.1137826569850327,0.6439158061061129,0.17220998838890017,0.508871509970235,0.061,0.1476997578692494,0.0651242480820417,0.194402207705714
noise0_shift2,maxmin,N,N,N,N,Y,N,Y,N,0.1283437454451731,0.350639205850306,0.372,0.353109645405932,0.1593289357847112,0.4058194817151741,0.424,0.3933856544810593,0.030985190339538088,0.24142345411584226,0.05518027586486812,0.15737052487058606,0.05199999999999999,0.13978494623655913,0.040276009075127295,0.11406091450384008
noise0_shift2,agglomerative,N,N,N,N,Y,N,Y,N,0.1905724140210599,0.3948100275562027,0.41,0.3750841047934689,0.3398760916767718,0.5477313437264335,0.532,0.4408882836867674,0.1493036776557119,0.7834485301698102,0.1529213161702308,0.3873288556442804,0.12200000000000005,0.29756097560975625,0.06580417889329854,0.175438463140239
noise0_shift2,kmeans,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,maxmin,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,Y,Y,Y,N,N,N,N,N,0.1734109764232408,0.3748005067498094,0.383,0.3467115025397922,0.151700006092295,0.3669889104635987,0.351,0.2676479022840289,-0.021710970330945795,-0.1251995160788222,-0.007811596286210698,-0.02084201100460404,-0.03200000000000003,-0.08355091383812017,-0.07906360025576331,-0.22803858446169997
noise0_shift2,maxmin,Y,Y,Y,N,N,N,N,N,0.1867368646580891,0.3932265227541514,0.392,0.3301145776926114,0.1970572985262434,0.408104296859637,0.405,0.3485290448924399,0.010320433868154288,0.055267254738643946,0.01487777410548563,0.03783512363632537,0.013000000000000012,0.03316326530612248,0.018414467199828533,0.05578204794389692
noise0_shift2,agglomerative,Y,Y,Y,N,N,N,N,N,0.2026622072944749,0.473388013815115,0.42,0.3634579401774975,0.2026622072944749,0.473388013815115,0.42,0.3634579401774975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,Y,Y,N,Y,N,N,N,N,0.2257683918321563,0.4697339000979058,0.401,0.365058822952065,0.1880823281054023,0.425991301267469,0.399,0.30721328281599,-0.03768606372675401,-0.16692356011806594,-0.043742598830436796,-0.09312208214335735,-0.0020000000000000018,-0.00498753117206983,-0.05784554013607501,-0.15845539540259398
noise0_shift2,maxmin,Y,Y,N,Y,N,N,N,N,0.1963840837390381,0.4003927943525018,0.41,0.3681212720308826,0.1287445576165012,0.3231914623136754,0.37,0.3319458042889874,-0.0676395261225369,-0.3444246847031587,-0.0772013320388264,-0.19281398948168663,-0.03999999999999998,-0.09756097560975606,-0.03617546774189517,-0.09827051705629314
